bucket,sid,sub,pid,pred,oid,obj,class
3-9,5588607,dbr:Yevgeny_Ostashev,65,dbo:birthPlace,736059,dbr:Baikonur,0
3-9,5013209,dbr:Tex_Terry,65,dbo:birthPlace,1301637,"dbr:Coxville,_Indiana",1
3-9,5013209,dbr:Tex_Terry,65,dbo:birthPlace,2450592,dbr:Indiana,0
3-9,2643163,dbr:Jetty_Paerl,65,dbo:birthPlace,516437,dbr:Amsterdam,1
3-9,2643163,dbr:Jetty_Paerl,65,dbo:birthPlace,516432,dbr:Amstelveen,0
3-9,2038210,dbr:George_Marsh_(martyr),65,dbo:birthPlace,1447566,"dbr:Deane,_Greater_Manchester",1
3-9,2038210,dbr:George_Marsh_(martyr),65,dbo:birthPlace,1151425,dbr:Chester,0
3-9,5513613,dbr:William_Lee_Bergstrom,65,dbo:birthPlace,699998,"dbr:Austin,_Texas",1
3-9,5513613,dbr:William_Lee_Bergstrom,65,dbo:birthPlace,3073503,dbr:Las_Vegas,0
3-9,2013737,dbr:Geertruid_Adriaansdochter,65,dbo:birthPlace,3771978,dbr:Netherlands,1
3-9,2013737,dbr:Geertruid_Adriaansdochter,65,dbo:birthPlace,2403213,dbr:IJpesloot,0
3-9,4016695,dbr:Patricia_Ziegfeld_Stephenson,65,dbo:birthPlace,3781679,dbr:New_York_City,1
3-9,4016695,dbr:Patricia_Ziegfeld_Stephenson,65,dbo:birthPlace,3218121,dbr:Los_Angeles,0
3-9,4277882,dbr:Ralph_Peduto,65,dbo:birthPlace,3778606,dbr:New_Jersey,1
3-9,4277882,dbr:Ralph_Peduto,65,dbo:birthPlace,4581292,"dbr:Santa_Cruz,_California",0
3-9,2278384,dbr:Heinz_Conrads,65,dbo:birthPlace,702527,dbr:Austria-Hungary,1
3-9,2278384,dbr:Heinz_Conrads,65,dbo:birthPlace,702517,dbr:Austria,0
3-9,1944230,dbr:Fred_W._Bateman,65,dbo:birthPlace,4454342,"dbr:Roper,_North_Carolina",1
3-9,1944230,dbr:Fred_W._Bateman,65,dbo:birthPlace,3785217,"dbr:Newport_News,_Virginia",0
3-9,3350662,dbr:Marcella_Rovena,65,dbo:birthPlace,1272500,dbr:Conegliano,1
3-9,3350662,dbr:Marcella_Rovena,65,dbo:birthPlace,2496513,dbr:Italy,0
3-9,857235,dbr:Billy_Marsh,65,dbo:birthPlace,1705443,dbr:England,1
3-9,857235,dbr:Billy_Marsh,65,dbo:birthPlace,3208131,dbr:London,0
3-9,835000,dbr:Bezalel_Rakow,65,dbo:birthPlace,1931479,dbr:Frankfurt,1
3-9,835000,dbr:Bezalel_Rakow,65,dbo:birthPlace,2007759,dbr:Gateshead,0
3-9,1352024,dbr:Dahlia_Ravikovitch,65,dbo:birthPlace,3328189,dbr:Mandatory_Palestine,1
3-9,1352024,dbr:Dahlia_Ravikovitch,65,dbo:birthPlace,2490794,dbr:Israel,0
3-9,1070738,dbr:Caroline_Lee_Hentz,65,dbo:birthPlace,3061864,"dbr:Lancaster,_Massachusetts",1
3-9,1070738,dbr:Caroline_Lee_Hentz,65,dbo:birthPlace,3373039,"dbr:Marianna,_Florida",0
3-9,4445657,dbr:Ron_Allen_(playwright),65,dbo:birthPlace,1486871,dbr:Detroit,1
3-9,4445657,dbr:Ron_Allen_(playwright),65,dbo:birthPlace,3218121,dbr:Los_Angeles,0
3-9,810438,dbr:Benjamin_Kendall_Emerson,65,dbo:birthPlace,3732030,"dbr:Nashua,_New_Hampshire",1
3-9,810438,dbr:Benjamin_Kendall_Emerson,65,dbo:birthPlace,509316,"dbr:Amherst,_Massachusetts",0
3-9,2568029,dbr:James_Taylor_(tea_planter),65,dbo:birthPlace,2966736,dbr:Kincardineshire,1
3-9,2568029,dbr:James_Taylor_(tea_planter),65,dbo:birthPlace,954810,dbr:British_Ceylon,0
3-9,2774756,dbr:Joseph_Matthias_Gérard_de_Rayneval,65,dbo:birthPlace,490722,dbr:Alsace,1
3-9,2774756,dbr:Joseph_Matthias_Gérard_de_Rayneval,65,dbo:birthPlace,3999975,dbr:Paris,0
3-9,2303942,dbr:Henry_Woods_(painter),65,dbo:birthPlace,1705443,dbr:England,1
3-9,2303942,dbr:Henry_Woods_(painter),65,dbo:birthPlace,5342598,dbr:Venice,0
3-9,650758,dbr:Arthur_A._Schuck,65,dbo:birthPlace,960485,dbr:Brooklyn,1
3-9,650758,dbr:Arthur_A._Schuck,65,dbo:birthPlace,4580927,"dbr:Santa_Barbara,_California",0
3-9,2077422,dbr:Gilbert_Ironside_the_younger,65,dbo:birthPlace,1562309,dbr:Dorset,1
3-9,2077422,dbr:Gilbert_Ironside_the_younger,65,dbo:birthPlace,1705443,dbr:England,0
3-9,1660127,dbr:El_Hedi_ben_Salem,65,dbo:birthPlace,3650646,dbr:Morocco,1
3-9,1660127,dbr:El_Hedi_ben_Salem,65,dbo:birthPlace,1906664,dbr:France,0
3-9,1847441,dbr:Felisa_Vanoff,65,dbo:birthPlace,503218,"dbr:Ambridge,_Pennsylvania",1
3-9,1847441,dbr:Felisa_Vanoff,65,dbo:birthPlace,833735,"dbr:Beverly_Hills,_California",0
3-9,813601,dbr:Benoît_Frachon,65,dbo:birthPlace,3089753,dbr:Le_Chambon-Feugerolles,1
3-9,813601,dbr:Benoît_Frachon,65,dbo:birthPlace,3125646,"dbr:Les_Bordes,_Loiret",0
3-9,3498720,dbr:Mendi_Rodan,65,dbo:birthPlace,2416116,dbr:Iași,1
3-9,3498720,dbr:Mendi_Rodan,65,dbo:birthPlace,2490794,dbr:Israel,0
3-9,318249,dbr:Abraham_Jacobi,65,dbo:birthPlace,2058487,dbr:German_Confederation,1
3-9,318249,dbr:Abraham_Jacobi,65,dbo:birthPlace,904454,"dbr:Bolton_Landing,_New_York",0
3-9,4561839,dbr:Samuel_Budgett,65,dbo:birthPlace,5552742,dbr:Wrington,1
3-9,4561839,dbr:Samuel_Budgett,65,dbo:birthPlace,953879,dbr:Bristol,0
3-9,2668344,dbr:Joao_Moises_Benabides_Dinis,65,dbo:birthPlace,3641936,dbr:Montserrat,1
3-9,2668344,dbr:Joao_Moises_Benabides_Dinis,65,dbo:birthPlace,3886286,dbr:Ohio_Country,0
3-9,2741255,dbr:Johnnie_Hoskins,65,dbo:birthPlace,5428257,"dbr:Waitara,_New_Zealand",1
3-9,2741255,dbr:Johnnie_Hoskins,65,dbo:birthPlace,1705443,dbr:England,0
3-9,2700681,dbr:John_D._Thompson,65,dbo:birthPlace,1932062,"dbr:Franklin,_Pennsylvania",1
3-9,2700681,dbr:John_D._Thompson,65,dbo:birthPlace,3778253,"dbr:New_Haven,_Connecticut",0
3-9,2181242,dbr:Gustav_Gassner,65,dbo:birthPlace,817795,dbr:Berlin,1
3-9,2181242,dbr:Gustav_Gassner,65,dbo:birthPlace,3275712,dbr:Lüneburg,0
3-9,3272919,dbr:László_Széchenyi,65,dbo:birthPlace,2357474,dbr:Horpács,1
3-9,3272919,dbr:László_Széchenyi,65,dbo:birthPlace,976830,dbr:Budapest,0
3-9,313299,dbr:Abdurajik_Abubakar_Janjalani,65,dbo:birthPlace,768885,dbr:Basilan,1
3-9,313299,dbr:Abdurajik_Abubakar_Janjalani,65,dbo:birthPlace,4117070,dbr:Philippines,0
3-9,2214678,dbr:Haji_Laq_Laq,65,dbo:birthPlace,516218,dbr:Amritsar,1
3-9,2214678,dbr:Haji_Laq_Laq,65,dbo:birthPlace,3051784,dbr:Lahore,0
3-9,2535687,dbr:Jacques_Bonne-Gigault_de_Bellefonds,65,dbo:birthPlace,788351,dbr:Beaumont-la-Ronce,1
3-9,2535687,dbr:Jacques_Bonne-Gigault_de_Bellefonds,65,dbo:birthPlace,3999975,dbr:Paris,0
3-9,3071547,dbr:Lars-Gunnar_Björklund,65,dbo:birthPlace,4875733,dbr:Stockholm,1
3-9,3071547,dbr:Lars-Gunnar_Björklund,65,dbo:birthPlace,4579680,dbr:Sankt_Matteus_Parish,0
3-9,1130973,dbr:Charles_R._Moore_(actor),65,dbo:birthPlace,1156552,dbr:Chicago,1
3-9,1130973,dbr:Charles_R._Moore_(actor),65,dbo:birthPlace,3218121,dbr:Los_Angeles,0
9-26,482054,dbr:Allen_Ludden,65,dbo:birthPlace,3587960,"dbr:Mineral_Point,_Wisconsin",1
9-26,482054,dbr:Allen_Ludden,65,dbo:birthPlace,3218121,dbr:Los_Angeles,0
9-26,1218390,dbr:Clara_Driscoll_(philanthropist),65,dbo:birthPlace,4816572,"dbr:St._Mary's_of_Aransas,_Texas",1
9-26,1218390,dbr:Clara_Driscoll_(philanthropist),65,dbo:birthPlace,1291364,"dbr:Corpus_Christi,_Texas",0
9-26,2778286,dbr:Josephine_Dunn,65,dbo:birthPlace,3781679,dbr:New_York_City,1
9-26,2778286,dbr:Josephine_Dunn,65,dbo:birthPlace,5127582,"dbr:Thousand_Oaks,_California",0
9-26,655394,dbr:Arthur_Porter_(physician),65,dbo:birthPlace,1952874,dbr:Freetown,1
9-26,655394,dbr:Arthur_Porter_(physician),65,dbo:birthPlace,3985426,dbr:Panama,0
9-26,2366011,dbr:Howard_B._Keck,65,dbo:birthPlace,5221998,"dbr:Trinidad,_California",1
9-26,2366011,dbr:Howard_B._Keck,65,dbo:birthPlace,4582390,"dbr:Santa_Monica,_California",0
9-26,1479253,dbr:Derek_Francis,65,dbo:birthPlace,952147,dbr:Brighton,1
9-26,1479253,dbr:Derek_Francis,65,dbo:birthPlace,1705443,dbr:England,0
9-26,412320,dbr:Alberta_Vaughn,65,dbo:birthPlace,667922,"dbr:Ashland,_Kentucky",1
9-26,412320,dbr:Alberta_Vaughn,65,dbo:birthPlace,4890063,"dbr:Studio_City,_Los_Angeles",0
9-26,1124997,dbr:Charles_Fredericks_(actor),65,dbo:birthPlace,1261827,"dbr:Columbus,_Mississippi",1
9-26,1124997,dbr:Charles_Fredericks_(actor),65,dbo:birthPlace,1023244,dbr:California,0
9-26,1785488,dbr:F._G._Natesa_Iyer,65,dbo:birthPlace,4189697,dbr:Presidencies_and_provinces_of_British_India,1
9-26,1785488,dbr:F._G._Natesa_Iyer,65,dbo:birthPlace,837718,dbr:Bhopal,0
9-26,2514825,dbr:J._N._Andrews,65,dbo:birthPlace,3308399,dbr:Maine,1
9-26,2514825,dbr:J._N._Andrews,65,dbo:birthPlace,767638,dbr:Basel,0
9-26,4294334,dbr:Rasul_Amin,65,dbo:birthPlace,358419,dbr:Afghanistan,1
9-26,4294334,dbr:Rasul_Amin,65,dbo:birthPlace,701166,dbr:Australia,0
9-26,2717556,dbr:John_Lee_Archer,65,dbo:birthPlace,1141607,"dbr:Chatham,_Kent",1
9-26,2717556,dbr:John_Lee_Archer,65,dbo:birthPlace,701166,dbr:Australia,0
9-26,5440211,dbr:Walter_Vidarte,65,dbo:birthPlace,3640134,dbr:Montevideo,1
9-26,5440211,dbr:Walter_Vidarte,65,dbo:birthPlace,3296583,dbr:Madrid,0
9-26,1550670,dbr:Don_Pardo,65,dbo:birthPlace,5475446,"dbr:Westfield,_Massachusetts",1
9-26,1550670,dbr:Don_Pardo,65,dbo:birthPlace,5235702,"dbr:Tucson,_Arizona",0
9-26,3570275,dbr:Mikhail_Shuisky_(baritone),65,dbo:birthPlace,3857518,dbr:Novogeorgievsk,1
9-26,3570275,dbr:Mikhail_Shuisky_(baritone),65,dbo:birthPlace,4073853,dbr:Perm,0
9-26,808886,dbr:Benjamin_A._Botkin,65,dbo:birthPlace,1611973,dbr:East_Boston,1
9-26,808886,dbr:Benjamin_A._Botkin,65,dbo:birthPlace,1318371,"dbr:Croton-on-Hudson,_New_York",0
9-26,2057748,dbr:Gerhard_Spiegler,65,dbo:birthPlace,2979293,dbr:Klaipėda,1
9-26,2057748,dbr:Gerhard_Spiegler,65,dbo:birthPlace,5555872,"dbr:Wynnewood,_Pennsylvania",0
9-26,5502596,dbr:William_Carpenter_(flat_Earth_theorist),65,dbo:birthPlace,1705443,dbr:England,1
9-26,5502596,dbr:William_Carpenter_(flat_Earth_theorist),65,dbo:birthPlace,744064,dbr:Baltimore,0
9-26,4356232,dbr:Richard_Derr,65,dbo:birthPlace,3844651,"dbr:Norristown,_Pennsylvania",1
9-26,4356232,dbr:Richard_Derr,65,dbo:birthPlace,4582390,"dbr:Santa_Monica,_California",0
9-26,3807277,dbr:Nigel_Stock_(actor),65,dbo:birthPlace,3322476,dbr:Malta,1
9-26,3807277,dbr:Nigel_Stock_(actor),65,dbo:birthPlace,3208131,dbr:London,0
9-26,2310587,dbr:Herman_Gummerus,65,dbo:birthPlace,4539390,dbr:Saint_Petersburg,1
9-26,2310587,dbr:Herman_Gummerus,65,dbo:birthPlace,2286633,dbr:Helsinki,0
9-26,461343,dbr:Alfred_J._Gross,65,dbo:birthPlace,1036538,dbr:Canada,1
9-26,461343,dbr:Alfred_J._Gross,65,dbo:birthPlace,4904750,"dbr:Sun_City,_Arizona",0
9-26,1196795,dbr:Christopher_Werner,65,dbo:birthPlace,2969225,dbr:Kingdom_of_Prussia,1
9-26,1196795,dbr:Christopher_Werner,65,dbo:birthPlace,1134596,"dbr:Charleston_County,_South_Carolina",0
9-26,582342,dbr:Annie_Malone,65,dbo:birthPlace,3513193,"dbr:Metropolis,_Illinois",1
9-26,582342,dbr:Annie_Malone,65,dbo:birthPlace,1156552,dbr:Chicago,0
9-26,3072468,dbr:Lars_Molin_(filmmaker),65,dbo:birthPlace,4925444,dbr:Sweden,1
9-26,3072468,dbr:Lars_Molin_(filmmaker),65,dbo:birthPlace,4906395,dbr:Sundbyberg_Municipality,0
9-26,4492554,dbr:Ruth_Hubbard_Cousins,65,dbo:birthPlace,2049937,dbr:Georgia_(U.S._state),1
9-26,4492554,dbr:Ruth_Hubbard_Cousins,65,dbo:birthPlace,1141932,"dbr:Chattanooga,_Tennessee",0
9-26,4677147,dbr:Shamsunnahar_Mahmud,65,dbo:birthPlace,1850249,dbr:Feni_District,1
9-26,4677147,dbr:Shamsunnahar_Mahmud,65,dbo:birthPlace,2449097,dbr:India,0
9-26,4753274,dbr:Slim_Keith,65,dbo:birthPlace,1023244,dbr:California,1
9-26,4753274,dbr:Slim_Keith,65,dbo:birthPlace,3330850,dbr:Manhattan,0
9-26,503891,dbr:Amby_Paliwoda,65,dbo:birthPlace,1230655,dbr:Cleveland,1
9-26,503891,dbr:Amby_Paliwoda,65,dbo:birthPlace,1023244,dbr:California,0
9-26,3878273,dbr:Octave_Chanute,65,dbo:birthPlace,1906664,dbr:France,1
9-26,3878273,dbr:Octave_Chanute,65,dbo:birthPlace,1156552,dbr:Chicago,0
9-26,2298780,dbr:Henry_Huttleston_Rogers,65,dbo:birthPlace,1825421,"dbr:Fairhaven,_Massachusetts",1
9-26,2298780,dbr:Henry_Huttleston_Rogers,65,dbo:birthPlace,3781679,dbr:New_York_City,0
9-26,3269100,dbr:Lynda_Bellingham,65,dbo:birthPlace,1036538,dbr:Canada,1
9-26,3269100,dbr:Lynda_Bellingham,65,dbo:birthPlace,1705443,dbr:England,0
9-26,5493063,dbr:Wilfred_Thesiger,65,dbo:birthPlace,339844,dbr:Addis_Ababa,1
9-26,5493063,dbr:Wilfred_Thesiger,65,dbo:birthPlace,1319150,dbr:Croydon,0
9-26,2156272,dbr:Gregorio_Fernandez,65,dbo:birthPlace,2461238,dbr:Insular_Government_of_the_Philippine_Islands,1
9-26,2156272,dbr:Gregorio_Fernandez,65,dbo:birthPlace,4117070,dbr:Philippines,0
9-26,444285,dbr:Alexander_Agassiz,65,dbo:birthPlace,3772916,dbr:Neuchâtel,1
9-26,444285,dbr:Alexander_Agassiz,65,dbo:birthPlace,4251761,dbr:RMS_Adriatic_(1906),0
9-26,2752198,dbr:Jonathan_Hardy,65,dbo:birthPlace,5464060,dbr:Wellington,1
9-26,2752198,dbr:Jonathan_Hardy,65,dbo:birthPlace,701166,dbr:Australia,0
9-26,5377800,dbr:Virginia_Graham,65,dbo:birthPlace,1156552,dbr:Chicago,1
9-26,5377800,dbr:Virginia_Graham,65,dbo:birthPlace,3330850,dbr:Manhattan,0
9-26,1336600,dbr:Cyrinda_Foxe,65,dbo:birthPlace,1023244,dbr:California,1
9-26,1336600,dbr:Cyrinda_Foxe,65,dbo:birthPlace,3781413,dbr:New_York,0
9-26,5099636,dbr:Theodore_Roosevelt_III,65,dbo:birthPlace,3781679,dbr:New_York_City,1
9-26,5099636,dbr:Theodore_Roosevelt_III,65,dbo:birthPlace,972543,"dbr:Bryn_Mawr,_Pennsylvania",0
9-26,2735344,dbr:John_Thadeus_Delane,65,dbo:birthPlace,3208131,dbr:London,1
9-26,2735344,dbr:John_Thadeus_Delane,65,dbo:birthPlace,665762,"dbr:Ascot,_Berkshire",0
9-26,2838904,dbr:János_Fadrusz,65,dbo:birthPlace,702672,dbr:Austrian_Empire,1
9-26,2838904,dbr:János_Fadrusz,65,dbo:birthPlace,702527,dbr:Austria-Hungary,0
9-26,1694650,dbr:Emily_Wheelock_Reed,65,dbo:birthPlace,667327,"dbr:Asheville,_North_Carolina",1
9-26,1694650,dbr:Emily_Wheelock_Reed,65,dbo:birthPlace,1246637,"dbr:Cockeysville,_Maryland",0
9-26,1695990,dbr:Emma_Lehmer,65,dbo:birthPlace,4490027,dbr:Russian_Empire,1
9-26,1695990,dbr:Emma_Lehmer,65,dbo:birthPlace,817351,"dbr:Berkeley,_California",0
9-26,4095466,dbr:Peter_Stursberg,65,dbo:birthPlace,4334369,dbr:Republic_of_China_(1912–49),1
9-26,4095466,dbr:Peter_Stursberg,65,dbo:birthPlace,954836,dbr:British_Columbia,0
9-26,436132,dbr:Alessandro_Fersen,65,dbo:birthPlace,5672865,dbr:Łódź,1
9-26,436132,dbr:Alessandro_Fersen,65,dbo:birthPlace,4443807,dbr:Rome,0
9-26,3255420,dbr:Luis_van_Rooten,65,dbo:birthPlace,3514743,dbr:Mexico_City,1
9-26,3255420,dbr:Luis_van_Rooten,65,dbo:birthPlace,1141609,"dbr:Chatham,_Massachusetts",0
9-26,4278082,dbr:Ralph_Sanford,65,dbo:birthPlace,4808467,"dbr:Springfield,_Massachusetts",1
9-26,4278082,dbr:Ralph_Sanford,65,dbo:birthPlace,3218121,dbr:Los_Angeles,0
9-26,4096493,dbr:Peter_Verigin,65,dbo:birthPlace,4752057,"dbr:Slavyanka,_Azerbaijan",1
9-26,4096493,dbr:Peter_Verigin,65,dbo:birthPlace,954836,dbr:British_Columbia,0
9-26,5393747,dbr:Vladislav_Galkin,65,dbo:birthPlace,4539390,dbr:Saint_Petersburg,1
9-26,5393747,dbr:Vladislav_Galkin,65,dbo:birthPlace,3654220,dbr:Moscow,0
9-26,4600318,dbr:Sava_Mutkurov,65,dbo:birthPlace,984092,dbr:Bulgaria,1
9-26,4600318,dbr:Sava_Mutkurov,65,dbo:birthPlace,2496513,dbr:Italy,0
26-77,5370476,dbr:Vince_Edwards,65,dbo:birthPlace,960485,dbr:Brooklyn,1
26-77,5370476,dbr:Vince_Edwards,65,dbo:birthPlace,3218121,dbr:Los_Angeles,0
26-77,938934,dbr:Brenda_Joyce_(actress),65,dbo:birthPlace,1778010,"dbr:Excelsior_Springs,_Missouri",1
26-77,938934,dbr:Brenda_Joyce_(actress),65,dbo:birthPlace,4582390,"dbr:Santa_Monica,_California",0
26-77,5566095,dbr:Xu_Guangqi,65,dbo:birthPlace,3588375,dbr:Ming_dynasty,1
26-77,5566095,dbr:Xu_Guangqi,65,dbo:birthPlace,794188,dbr:Beijing,0
26-77,1446114,dbr:Dean_Elliott,65,dbo:birthPlace,3295643,"dbr:Madison,_Wisconsin",1
26-77,1446114,dbr:Dean_Elliott,65,dbo:birthPlace,1023244,dbr:California,0
26-77,3048631,dbr:Ladislaus_Vajda,65,dbo:birthPlace,702527,dbr:Austria-Hungary,1
26-77,3048631,dbr:Ladislaus_Vajda,65,dbo:birthPlace,817795,dbr:Berlin,0
26-77,3467596,dbr:Max_Obal,65,dbo:birthPlace,973015,dbr:Brzeg,1
26-77,3467596,dbr:Max_Obal,65,dbo:birthPlace,817795,dbr:Berlin,0
26-77,3496341,dbr:Melville_Shavelson,65,dbo:birthPlace,3781679,dbr:New_York_City,1
26-77,3496341,dbr:Melville_Shavelson,65,dbo:birthPlace,1023244,dbr:California,0
26-77,3425180,dbr:Mary_Boland,65,dbo:birthPlace,2088403,"dbr:Girardville,_Pennsylvania",1
26-77,3425180,dbr:Mary_Boland,65,dbo:birthPlace,3781679,dbr:New_York_City,0
26-77,480248,dbr:Allan_Melvin,65,dbo:birthPlace,2879873,"dbr:Kansas_City,_Missouri",1
26-77,480248,dbr:Allan_Melvin,65,dbo:birthPlace,3218121,dbr:Los_Angeles,0
26-77,1223461,dbr:Claude_Renoir,65,dbo:birthPlace,1906664,dbr:France,1
26-77,1223461,dbr:Claude_Renoir,65,dbo:birthPlace,691651,dbr:Aube,0
26-77,888450,dbr:Bob_Hoskins,65,dbo:birthPlace,991764,dbr:Bury_St_Edmunds,1
26-77,888450,dbr:Bob_Hoskins,65,dbo:birthPlace,1705443,dbr:England,0
26-77,1628434,dbr:Edgar_Leopold_Layard,65,dbo:birthPlace,1882039,dbr:Florence,1
26-77,1628434,dbr:Edgar_Leopold_Layard,65,dbo:birthPlace,978401,dbr:Budleigh_Salterton,0
26-77,4247934,dbr:R._S._Manohar,65,dbo:birthPlace,2449097,dbr:India,1
26-77,4247934,dbr:R._S._Manohar,65,dbo:birthPlace,1148410,dbr:Chennai,0
26-77,891152,dbr:Bob_Stewart_(television_producer),65,dbo:birthPlace,960485,dbr:Brooklyn,1
26-77,891152,dbr:Bob_Stewart_(television_producer),65,dbo:birthPlace,3218121,dbr:Los_Angeles,0
26-77,2307728,dbr:Herbert_Rawlinson,65,dbo:birthPlace,1150717,dbr:Cheshire,1
26-77,2307728,dbr:Herbert_Rawlinson,65,dbo:birthPlace,3218121,dbr:Los_Angeles,0
26-77,1627898,dbr:Edgar_Buchanan,65,dbo:birthPlace,2381215,"dbr:Humansville,_Missouri",1
26-77,1627898,dbr:Edgar_Buchanan,65,dbo:birthPlace,3981867,"dbr:Palm_Desert,_California",0
26-77,1941586,dbr:Fred_Gwynne,65,dbo:birthPlace,3781413,dbr:New_York,1
26-77,1941586,dbr:Fred_Gwynne,65,dbo:birthPlace,3428818,dbr:Maryland,0
26-77,2726393,dbr:John_Patterson_(director),65,dbo:birthPlace,979220,"dbr:Buffalo,_New_York",1
26-77,2726393,dbr:John_Patterson_(director),65,dbo:birthPlace,1023244,dbr:California,0
26-77,2276897,dbr:Heinie_Conklin,65,dbo:birthPlace,1023244,dbr:California,1
26-77,2276897,dbr:Heinie_Conklin,65,dbo:birthPlace,2344305,dbr:Hollywood,0
26-77,2480185,dbr:Irving_Allen,65,dbo:birthPlace,702527,dbr:Austria-Hungary,1
26-77,2480185,dbr:Irving_Allen,65,dbo:birthPlace,1701982,"dbr:Encino,_Los_Angeles",0
26-77,4276845,dbr:Ralph_E._Winters,65,dbo:birthPlace,1036538,dbr:Canada,1
26-77,4276845,dbr:Ralph_E._Winters,65,dbo:birthPlace,3218121,dbr:Los_Angeles,0
26-77,2536172,dbr:Jacques_Feyder,65,dbo:birthPlace,2509806,dbr:Ixelles,1
26-77,2536172,dbr:Jacques_Feyder,65,dbo:birthPlace,4184997,dbr:Prangins,0
26-77,1882601,dbr:Florence_Vidor,65,dbo:birthPlace,2364336,dbr:Houston,1
26-77,1882601,dbr:Florence_Vidor,65,dbo:birthPlace,3972504,"dbr:Pacific_Palisades,_Los_Angeles",0
26-77,1923783,dbr:Frank_De_Vol,65,dbo:birthPlace,3659939,"dbr:Moundsville,_West_Virginia",1
26-77,1923783,dbr:Frank_De_Vol,65,dbo:birthPlace,3050314,"dbr:Lafayette,_California",0
26-77,1157941,dbr:Chico_Marx,65,dbo:birthPlace,3781679,dbr:New_York_City,1
26-77,1157941,dbr:Chico_Marx,65,dbo:birthPlace,2344305,dbr:Hollywood,0
26-77,4087149,dbr:Peter_Graves,65,dbo:birthPlace,3590808,dbr:Minneapolis,1
26-77,4087149,dbr:Peter_Graves,65,dbo:birthPlace,1023244,dbr:California,0
26-77,3974805,dbr:Padmarajan,65,dbo:birthPlace,404518,dbr:Alappuzha,1
26-77,3974805,dbr:Padmarajan,65,dbo:birthPlace,2933958,dbr:Kerala,0
26-77,3348516,dbr:Marcel_Boussac,65,dbo:birthPlace,1206598,dbr:Châteauroux,1
26-77,3348516,dbr:Marcel_Boussac,65,dbo:birthPlace,1906664,dbr:France,0
26-77,2612010,dbr:Jean_Cocteau,65,dbo:birthPlace,3309359,dbr:Maisons-Laffitte,1
26-77,2612010,dbr:Jean_Cocteau,65,dbo:birthPlace,3580805,dbr:Milly-la-Forêt,0
26-77,2774463,dbr:Joseph_M._Newman,65,dbo:birthPlace,3205045,"dbr:Logan,_Utah",1
26-77,2774463,dbr:Joseph_M._Newman,65,dbo:birthPlace,4726323,"dbr:Simi_Valley,_California",0
26-77,1219211,dbr:Clarence_Brown,65,dbo:birthPlace,1233995,"dbr:Clinton,_Massachusetts",1
26-77,1219211,dbr:Clarence_Brown,65,dbo:birthPlace,4582390,"dbr:Santa_Monica,_California",0
